id,at,actor,action,entity,entity_id,before,after
2,2026-07-29 07:49:32.986085+00,admin,customers.upsert,customers,EXP,"{""name"": ""123 Express"", ""active"": true, ""client_id"": ""EXP"", ""sales_rep"": null, ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null, ""payment_terms"": null, ""xero_contact_id"": null}","{""name"": ""123 Express"", ""client_id"": ""EXP""}"
3,2026-07-29 07:49:32.992718+00,admin,sites.upsert,sites,EXP_001,"{""active"": true, ""address"": ""60 Kaki Bukit Place, #06-14 Eunos Techpark"", ""site_id"": ""EXP_001"", ""client_id"": ""EXP"", ""site_name"": ""123 Express"", ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""60 Kaki Bukit Place, #06-14 Eunos Techpark"", ""site_id"": ""EXP_001"", ""client_id"": ""EXP"", ""site_name"": ""123 Express"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
4,2026-07-29 07:57:07.313471+00,legacy-key,rate_card.replace,rate_card,EXP_001,"[{""price"": 23, ""job_type"": ""Collect"", ""valid_from"": ""2026-01-01""}, {""price"": 8, ""job_type"": ""Delivery"", ""valid_from"": ""2026-01-01""}, {""price"": 23, ""job_type"": ""Exchange"", ""valid_from"": ""2026-01-01""}, {""price"": 1.01, ""job_type"": ""Sell"", ""valid_from"": ""2026-01-01""}]","[{""price"": 23, ""job_type"": ""Exchange""}, {""price"": 23, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}, {""price"": 1.01, ""job_type"": ""Sell""}]"
5,2026-07-29 08:03:20.497163+00,admin,customers.upsert,customers,EXP,"{""name"": ""123 Express"", ""active"": true, ""client_id"": ""EXP"", ""sales_rep"": null, ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null, ""payment_terms"": null, ""xero_contact_id"": null}","{""name"": ""123 Express"", ""client_id"": ""EXP""}"
6,2026-07-29 08:03:20.562252+00,admin,rate_card.replace,rate_card,EXP_001,"[{""price"": 23, ""job_type"": ""Collect"", ""valid_from"": ""2026-07-29""}, {""price"": 8, ""job_type"": ""Delivery"", ""valid_from"": ""2026-07-29""}, {""price"": 23, ""job_type"": ""Exchange"", ""valid_from"": ""2026-07-29""}, {""price"": 1.01, ""job_type"": ""Sell"", ""valid_from"": ""2026-07-29""}]","[{""price"": 23, ""job_type"": ""Exchange""}, {""price"": 23, ""job_type"": ""Collect""}, {""price"": 8, ""job_type"": ""Delivery""}]"
7,2026-07-29 08:03:20.585047+00,admin,sites.upsert,sites,EXP_001,"{""active"": true, ""address"": ""60 Kaki Bukit Place, #06-14 Eunos Techpark"", ""site_id"": ""EXP_001"", ""client_id"": ""EXP"", ""site_name"": ""123 Express"", ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""60 Kaki Bukit Place, #06-14 Eunos Techpark"", ""site_id"": ""EXP_001"", ""client_id"": ""EXP"", ""site_name"": ""123 Express"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
8,2026-07-29 09:21:18.195636+00,admin,sites.upsert,sites,LIR_001,"{""active"": true, ""address"": ""Carton"", ""site_id"": ""LIR_001"", ""client_id"": ""LIR"", ""site_name"": ""Lirich"", ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": true, ""address"": ""23 Gul Drive"", ""site_id"": ""LIR_001"", ""client_id"": ""LIR"", ""site_name"": ""Lirich"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
9,2026-07-29 09:21:18.370036+00,admin,sites.upsert,sites,LIR_002,"{""active"": true, ""address"": ""Metal"", ""site_id"": ""LIR_002"", ""client_id"": ""LIR"", ""site_name"": ""Lirich"", ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": false, ""address"": ""Metal"", ""site_id"": ""LIR_002"", ""client_id"": ""LIR"", ""site_name"": ""Lirich"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
10,2026-07-29 09:21:18.465268+00,admin,sites.upsert,sites,LIR_003,"{""active"": true, ""address"": ""Plastics"", ""site_id"": ""LIR_003"", ""client_id"": ""LIR"", ""site_name"": ""Lirich"", ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": false, ""address"": ""Plastics"", ""site_id"": ""LIR_003"", ""client_id"": ""LIR"", ""site_name"": ""Lirich"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
11,2026-07-29 09:21:18.546652+00,admin,sites.upsert,sites,LIR_004,"{""active"": true, ""address"": ""Beejoo"", ""site_id"": ""LIR_004"", ""client_id"": ""LIR"", ""site_name"": ""Lirich"", ""created_at"": ""2026-07-24T15:15:51.944859+00:00"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}","{""active"": false, ""address"": ""Beejoo"", ""site_id"": ""LIR_004"", ""client_id"": ""LIR"", ""site_name"": ""Lirich"", ""contact_name"": null, ""contact_email"": null, ""contact_phone"": null}"
