id,vehicle_id,read_date,odometer_km,source,distance_km,cartrack_co2_g,synced_at
5,XE4491D,2026-07-28,80972,cartrack,244.4,,2026-07-29 04:17:15.381+00
6,XE5457Y,2026-07-28,59344,cartrack,131.6,,2026-07-29 04:17:15.892+00
7,XE6221D,2026-07-28,82610,cartrack,170.6,,2026-07-29 04:17:16.401+00
8,XE8496P,2026-07-28,52924,cartrack,0,,2026-07-29 04:17:16.832+00
9,XE7126P,2026-07-28,52423,cartrack,118.3,,2026-07-29 04:17:17.265+00
10,XE4491D,2026-07-29,81111,cartrack,198.5,,2026-07-29 19:00:09.502+00
11,XE5457Y,2026-07-29,59361,cartrack,72.6,,2026-07-29 19:00:11.108+00
12,XE6221D,2026-07-29,82790,cartrack,283.5,,2026-07-29 19:00:12.074+00
13,XE8496P,2026-07-29,53050,cartrack,189.1,,2026-07-29 19:00:13.486+00
14,XE7126P,2026-07-29,52541,cartrack,179.5,,2026-07-29 19:00:13.932+00
15,XE4491D,2026-07-30,81165,cartrack,53.9,,2026-07-30 19:00:06.364+00
16,XE5457Y,2026-07-30,59526,cartrack,164.6,,2026-07-30 19:00:08.335+00
17,XE6221D,2026-07-30,82920,cartrack,129.6,,2026-07-30 19:00:08.972+00
18,XE8496P,2026-07-30,53266,cartrack,216.2,,2026-07-30 19:00:10.481+00
19,XE7126P,2026-07-30,52708,cartrack,167.6,,2026-07-30 19:00:12.223+00
20,XE4491D,2026-07-31,81236,cartrack,71.5,,2026-07-31 19:00:06.885+00
21,XE5457Y,2026-07-31,59690,cartrack,164.3,,2026-07-31 19:00:07.917+00
22,XE6221D,2026-07-31,83161,cartrack,241.1,,2026-07-31 19:00:08.423+00
23,XE8496P,2026-07-31,53414,cartrack,147.7,,2026-07-31 19:00:09.668+00
24,XE7126P,2026-07-31,53030,cartrack,321.4,,2026-07-31 19:00:11.219+00
25,XE4491D,2026-08-01,81329,cartrack,93.2,,2026-08-01 19:00:06.19+00
26,XE5457Y,2026-08-01,59776,cartrack,85.8,,2026-08-01 19:00:09.62+00
27,XE6221D,2026-08-01,83401,cartrack,239.8,,2026-08-01 19:00:14.615+00
28,XE8496P,2026-08-01,53421,cartrack,7.6,,2026-08-01 19:00:16.311+00
29,XE7126P,2026-08-01,53268,cartrack,238,,2026-08-01 19:00:17.152+00
30,XE4491D,2026-08-02,81526,cartrack,164.9,,2026-08-02 19:00:05.478+00
31,XE5457Y,2026-08-02,59818,cartrack,41.3,,2026-08-02 19:00:06.117+00
32,XE6221D,2026-08-02,83551,cartrack,125.6,,2026-08-02 19:00:06.742+00
33,XE8496P,2026-08-02,53598,cartrack,151.4,,2026-08-02 19:00:08.972+00
34,XE7126P,2026-08-02,53389,cartrack,120.8,,2026-08-02 19:00:10.689+00
35,XE4491D,2026-08-03,81684,cartrack,189.7,,2026-08-03 19:00:08.624+00
36,XE5457Y,2026-08-03,59983,cartrack,164.8,,2026-08-03 19:00:12.56+00
37,XE6221D,2026-08-03,83741,cartrack,214.6,,2026-08-03 19:00:16.284+00
38,XE8496P,2026-08-03,53877,cartrack,304.4,,2026-08-03 19:00:19.418+00
39,XE7126P,2026-08-03,53389,cartrack,0,,2026-08-03 19:00:20.12+00
40,XE4491D,2026-08-04,81820,cartrack,110.6,,2026-08-04 19:00:05.022+00
41,XE5457Y,2026-08-04,60042,cartrack,58.7,,2026-08-04 19:00:07.419+00
42,XE6221D,2026-08-04,83882,cartrack,141.6,,2026-08-04 19:00:09.222+00
43,XE8496P,2026-08-04,53999,cartrack,121.2,,2026-08-04 19:00:10.488+00
44,XE7126P,2026-08-04,53604,cartrack,215.6,,2026-08-04 19:00:11.144+00
45,XE4491D,2026-08-05,82044,cartrack,248.7,,2026-08-05 19:00:06.8+00
46,XE5457Y,2026-08-05,60142,cartrack,100.6,,2026-08-05 19:00:07.435+00
47,XE6221D,2026-08-05,83912,cartrack,29.3,,2026-08-05 19:00:09.967+00
48,XE8496P,2026-08-05,54152,cartrack,153.8,,2026-08-05 19:00:14.356+00
49,XE7126P,2026-08-05,53890,cartrack,285.2,,2026-08-05 19:00:16.244+00
50,XE4491D,2026-08-06,82086,cartrack,42.5,,2026-08-06 19:00:04.89+00
51,XE5457Y,2026-08-06,60226,cartrack,84,,2026-08-06 19:00:05.506+00
52,XE6221D,2026-08-06,84064,cartrack,152.6,,2026-08-06 19:00:07.567+00
53,XE8496P,2026-08-06,54354,cartrack,201.8,,2026-08-06 19:00:08.183+00
54,XE7126P,2026-08-06,54023,cartrack,133.3,,2026-08-06 19:00:10.135+00
55,XE4491D,2026-08-07,82249,cartrack,163.1,,2026-08-07 19:00:09.426+00
56,XE5457Y,2026-08-07,60395,cartrack,168.5,,2026-08-07 19:00:10.046+00
57,XE6221D,2026-08-07,84235,cartrack,166.6,,2026-08-07 19:00:10.577+00
58,XE8496P,2026-08-07,54412,cartrack,57.8,,2026-08-07 19:00:11.778+00
59,XE7126P,2026-08-07,54213,cartrack,189.8,,2026-08-07 19:00:13.391+00
60,XE4491D,2026-08-08,82348,cartrack,98.6,,2026-08-08 19:00:08.289+00
61,XE5457Y,2026-08-08,60553,cartrack,158.7,,2026-08-08 19:00:09.2+00
62,XE6221D,2026-08-08,84368,cartrack,136.5,,2026-08-08 19:00:10.828+00
63,XE8496P,2026-08-08,54554,cartrack,141.6,,2026-08-08 19:00:12.953+00
64,XE7126P,2026-08-08,54374,cartrack,161.5,,2026-08-08 19:00:13.505+00
65,XE4491D,2026-08-09,82393,cartrack,45.3,,2026-08-09 19:00:05.584+00
66,XE5457Y,2026-08-09,60633,cartrack,80,,2026-08-09 19:00:06.448+00
67,XE6221D,2026-08-09,84408,cartrack,40,,2026-08-09 19:00:08.484+00
68,XE8496P,2026-08-09,54597,cartrack,43,,2026-08-09 19:00:09.105+00
69,XE7126P,2026-08-09,54391,cartrack,16.6,,2026-08-09 19:00:09.658+00
70,XE4491D,2026-08-10,82403,cartrack,9.8,,2026-08-10 19:00:06.26+00
71,XE5457Y,2026-08-10,60713,cartrack,78.2,,2026-08-10 19:00:09.299+00
72,XE6221D,2026-08-10,84475,cartrack,66.8,,2026-08-10 19:00:12.538+00
73,XE8496P,2026-08-10,54597,cartrack,0,,2026-08-10 19:00:12.956+00
74,XE7126P,2026-08-10,54485,cartrack,94.1,,2026-08-10 19:00:15.275+00
75,XE4491D,2026-08-11,82500,cartrack,97.1,,2026-08-11 19:00:06.733+00
76,XE5457Y,2026-08-11,60851,cartrack,138.9,,2026-08-11 19:00:08.509+00
77,XE6221D,2026-08-11,84593,cartrack,118,,2026-08-11 19:00:09.217+00
78,XE8496P,2026-08-11,54744,cartrack,147.6,,2026-08-11 19:00:09.861+00
79,XE7126P,2026-08-11,54628,cartrack,143.4,,2026-08-11 19:00:10.814+00
80,XE4491D,2026-08-12,82659,cartrack,148.2,,2026-08-12 19:00:04.674+00
81,XE5457Y,2026-08-12,61006,cartrack,155.6,,2026-08-12 19:00:08.65+00
82,XE6221D,2026-08-12,84740,cartrack,147,,2026-08-12 19:00:09.345+00
83,XE8496P,2026-08-12,54901,cartrack,140.1,,2026-08-12 19:00:10.482+00
84,XE7126P,2026-08-12,54646,cartrack,17.5,,2026-08-12 19:00:11.941+00
85,XE4491D,2026-08-13,82829,cartrack,180.6,,2026-08-13 19:00:05.116+00
86,XE5457Y,2026-08-13,61119,cartrack,112.8,,2026-08-13 19:00:06.631+00
87,XE6221D,2026-08-13,84891,cartrack,151.3,,2026-08-13 19:00:08.406+00
88,XE8496P,2026-08-13,55060,cartrack,175.9,,2026-08-13 19:00:10.039+00
89,XE7126P,2026-08-13,54816,cartrack,170.3,,2026-08-13 19:00:11.125+00
90,XE4491D,2026-08-14,83017,cartrack,187.4,,2026-08-14 19:00:05.591+00
91,XE5457Y,2026-08-14,61272,cartrack,145.6,,2026-08-14 19:00:06.735+00
92,XE6221D,2026-08-14,84891,cartrack,0,,2026-08-14 19:00:14.244+00
