kind,value
waste,General Waste
waste,Wood Waste
waste,Metal Waste
waste,Plastic Waste
waste,Hardcore Waste
waste,Food Waste
waste,Vessel Waste
dump,Lirich Resources Pte Ltd
dump,NEA
dump,WDL
dump,Bee Joo
dump,Kim Hock
dump,Wah & Hua
bin_type,3 ft
bin_type,Compactor
waste,Concrete Stone
waste,Misc (Electrode Stud Ends + NDT Chemical Cans)
waste,Old Paint
waste,OTC Waste
waste,Oversized Wood Waste
waste,Rubber Fender
waste,Tyre
waste,Used Fender
waste,Used Rubber Fender
waste,Used Tyre
waste,Used Tyre Fender
waste,Yokohama Fender
waste,Carton Boxes
waste,E-Waste
dump,Asia Recycling Resources Pte Ltd
dump,ECOZEAL
dump,ALBA
dump,Lanco Construction & Engineering Pte Ltd
dump,HCG Environmental Pte Ltd
dump,LK Construction
dump,T3 Resources Pte Ltd
dump,7 Gul Street 1
